Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,
Théo Maledon,58,1343,0.3715,16.05,0.5085,0.14400000000000002,0.249,0.0805,0.0345,0.4915,0.4255,0.4665,0.41900000000000004,0.359,0.3325,0.314,0.392,0.8225,0.003,1,0.154,0.2985,1.5,0,9.399999999999999,0.4945,0.4915,0.2675,1.8,11.9,6.800000000000001,18.65,1.6,0.8,16.3,19.85,-1.2,0.9500000000000001,-0.25,-0.003,-3.85,-0.85,-4.7,-0.95,28,6.2,16.7,0.3715,2.5999999999999996,8.2,0.314,3.6,8.5,0.4255,3.45,4.5,0.769,0.9,5.5,6.3,6.05,1.6,0.44999999999999996,3.65,3.5,18.5,96.5,115,0.865,0.135,0,0,0,
Tiago Splitter,50.714285714285715,973.1428571428571,0.5375714285714286,3.7857142857142856,0.9678571428571429,0.6352857142857143,0.3038571428571428,0.015428571428571429,0.013142857142857142,0.032142857,0.5437142857142857,0.6421428571428571,0.36885714285714283,0.16549999999999998,0.1708333333333333,0.0666,0.6844285714285715,1,0.076571429,22.285714285714285,0.2,0,0.42857142857142855,0,17.04285714285714,0.5851428571428572,0.032142857,0.4754285714285714,10.285714285714286,19.071428571428573,14.799999999999999,9.028571428571428,1.4000000000000001,2,13.828571428571427,18.87142857142857,2.0571428571428574,1.5714285714285714,3.6,0.15871428571428572,-0.414285714,0.4428571428571429,0.042857143,0.7571428571428571,21.857142857142858,8.057142857142857,15.1,0.5375714285714286,0.18571428571428572,0.6142857142857142,0.0666,7.871428571428572,14.471428571428572,0.5437142857142857,4.985714285714286,7.085714285714286,0.7205714285714285,4.485714285714286,8.757142857142856,13.228571428571428,2.9714285714285715,1.4000000000000001,1.3714285714285714,2.957142857142857,5.385714285714286,21.285714285714285,113.85714285714286,102.85714285714286,0,0,0,0.326,0.767142857,
Tibor Pleiß,12,82,0.44,6.1,0.92,0.52,0.24,0.04,0.12,0.08,0.478,0.462,0.167,1,1,0,0.909,,0.12,3,0.5,0,0,0,3.5,0.464,0.08,0.08,8.6,12.8,10.7,4,0.6,2.1,23.6,19.1,-0.2,0.1,-0.1,-0.041,-10,-1.6,-11.6,-0.2,0,7.1,16.1,0.44,0,1.3,0,7.1,14.8,0.478,1.3,1.3,1,3.9,5.8,9.6,1.3,0.6,1.3,5.1,12.2,15.4,82,106,0,0,0,0,1,
Tierre Brown,31.333333333333332,417,0.438,9.433333333333334,0.9253333333333335,0.4096666666666667,0.14300000000000002,0.17933333333333334,0.19333333333333336,0.074666667,0.4403333333333333,0.6973333333333334,0.2975,0.22566666666666668,0.219,0.1805,0.14333333333333334,0.923,0,0,0.0695,0.4,0.3333333333333333,0,5.8999999999999995,0.4856666666666667,0.074666667,0.48433333333333334,2.466666666666667,9.799999999999999,6.1000000000000005,28.46666666666667,1.8666666666666665,0.033333333,32.13333333333333,25.366666666666664,-0.233333333,0.066666667,-0.166666667,-0.158,-5.5,-3.166666667,-8.666666667,-0.233333333,0,6.866666666666666,15.966666666666667,0.438,0.43333333333333335,1.3,0.1805,6.466666666666666,14.666666666666666,0.4403333333333333,4.166666666666667,6.8999999999999995,0.691,1.1333333333333333,4.5,5.633333333333333,8.633333333333333,1.8666666666666665,0,10.866666666666667,2.9333333333333336,18.433333333333334,79.33333333333333,109,0.953333333,0.14,0,0,0,
Tim Duncan*,73,2344.5,0.5030714285714286,8.042857142857143,0.9929285714285714,0.314,0.33335714285714285,0.17464285714285713,0.1707857142857143,0.007071429,0.5055714285714286,0.6905714285714285,0.4377142857142857,0.39685714285714285,0.396,0.14557142857142855,0.5727142857142857,0.708375,0.049499999999999995,47.57142857142857,0.15607142857142858,0.59375,0.7142857142857143,0,23.807142857142857,0.5453571428571429,0.007071429,0.3926428571428571,9.464285714285714,27.385714285714283,18.664285714285715,16.70714285714286,1.1785714285714286,4.692857142857143,11.87857142857143,26.2,4.771428571428571,5.278571428571429,10.057142857142859,0.20257142857142857,2.992857142857143,2.4857142857142853,5.485714285714286,4.557142857142858,72.78571428571429,11.228571428571428,22.3,0.5030714285714286,0.014285714285714287,0.1642857142857143,0.14557142857142855,11.207142857142857,22.164285714285715,0.5055714285714286,6.121428571428572,8.85,0.6994999999999999,4.178571428571429,12.757142857142856,16.942857142857143,4.957142857142857,1.1785714285714286,3.4,3.492857142857143,3.5714285714285716,28.62857142857143,109.78571428571429,96.21428571428571,0,0,0,0.382857143,0.808571429,
Tim Frazier,23.85,415.7,0.38705,14.0625,0.706225,0.2084,0.15505,0.15712500000000001,0.18732500000000002,0.293775,0.41022499999999995,0.6933243243243243,0.25054054054054054,0.285675,0.33895,0.3230810810810811,0.35335,0.7418055555555555,0.00335,0.375,0.11675675675675676,0.22025,0,0,8.122499999999999,0.46335000000000004,0.293775,0.249025,2.9699999999999998,9.8475,6.3925,29.945,1.4300000000000002,0.29500000000000004,24.5225,16.665,0.19,0.2925,0.48250000000000004,0.005,-4.555,-1.05,-5.5875,-0.0725,5.475,4.9350000000000005,12.690000000000001,0.38705,1.1875,3.625,0.3230810810810811,3.7775,9.07,0.41022499999999995,2.0825,3.255,0.639,1.3599999999999999,4.467499999999999,5.8375,10.2925,1.4300000000000002,0.155,4.725,6.3125,13.1375,94.9,111.5,1,0,0,0,0,
Tim Hardaway Jr.,53.588235294117645,1536.5882352941176,0.40900000000000003,17.48235294117647,0.49258823529411766,0.17329411764705882,0.098823529,0.095823529,0.12435294117647058,0.5074117647058823,0.4759411764705882,0.6301176470588236,0.3301764705882353,0.4212941176470588,0.4106470588235294,0.34505882352941175,0.5179999999999999,0.8018235294117647,0.025352941,15.352941176470589,0.17158823529411762,0.3541764705882353,2.0588235294117645,0,13.399999999999999,0.5374117647058823,0.5074117647058823,0.23117647058823532,1.464705882352941,10.058823529411764,5.747058823529412,11.629411764705884,1.188235294117647,0.38235294117647056,7.958823529411766,23.41176470588235,1.2823529411764707,0.8117647058823529,2.0588235294117645,0.060529412,0.041176471,-1.570588235,-1.523529412,0.28823529411764703,35.470588235294116,9,22.023529411764706,0.40900000000000003,3.8470588235294123,11.152941176470588,0.34505882352941175,5.152941176470588,10.86470588235294,0.4759411764705882,4.211764705882352,5.123529411764705,0.8165882352941176,0.6529411764705882,4.541176470588235,5.2176470588235295,3.5,1.188235294117647,0.23529411764705882,2.1294117647058823,3.1705882352941175,26.064705882352943,106.88235294117646,113.88235294117646,0.052,0.698823529,0.264705882,0.015555556,0,
Tim Hardaway*,10,127,0.367,20.9,0.367,0.122,0.041,0,0.204,0.633,0.389,0.667,0.5,,0.2,0.355,0.714,0.636,0,0,0.097,0,0,0,14.7,0.483,0.633,0.082,0.9,12.1,6.6,32.1,3.7,0,17.8,22,0,0.2,0.2,0.081,-0.1,1.1,1,0.1,0,7.4,20.2,0.367,4.5,12.8,0.355,2.9,7.4,0.389,0.8,1.7,0.5,0.4,5.8,6.2,9.9,3.7,0,4.5,3.3,20.2,96,99,1,0,0,0,0,
Tim Ohlbrecht,3,12,0.333,5.7,1,0.333,0.667,0,0,0,0.333,1,0,,,,1,,0,0,,,0,0,-6.1,0.436,0,0.333,0,9.3,4.7,11.8,4.2,0,53.8,27.1,-0.1,0,-0.1,-0.369,-17.2,0,-17.2,0,0,4.2,12.5,0.333,0,0,,4.2,12.5,0.333,4.2,4.2,1,0,4.2,4.2,4.2,4.2,0,16.6,4.2,12.5,46,104,0,0,0,0,1,
Tim Quarterman,9.5,46.5,0.3905,16.6,0.4425,0.1035,0.218,0.0515,0.069,0.5575,0.75,0.667,0.8335,0,0.5,0.1925,0.5625,0.8,0.017,0.5,0.0385,0,0,0,6.55,0.513,0.5575,0.385,2.75,19.85,11.35,15.850000000000001,0.6,1.5,30.3,21.4,-0.05,0.05,-0.05,-0.0635,-5.25,-1.05,-6.25,0,0,5.949999999999999,14.7,0.3905,1.55,7.85,0.1925,4.4,6.85,0.75,3.8,4.75,0.5,1.25,8.8,10.05,5.3,0.6,0.95,7.199999999999999,3.75,17.15,83,110,0.525,0.5,0.45,0,0,
